INPUT:title	INPUT:article	INPUT:true_label	GOLDEN:pred_label	GOLDEN:rationale
Brad Pitt Going Back To School To Impress Professor Girlfriend, Neri Oxman!	www.radaronline.com/exclusives/2018/04/brad-pitt-back-school-neri-oxman/	fake		
Travis Scott, Kylie Jenner’s Boyfriend Split Rumors: No Break Up	www.heavy.com/entertainment/2018/08/travis-scott-kylie-jenner-boyfriend-split/	fake		
Kylie Jenner slams claim Kris is guiding Travis Scott and Kanye West	www.dailymail.co.uk/tvshowbiz/article-5580823/Kylie-Jenner-takes-Twitter-refute-report-Kris-Jenner-guiding-Travis-Scott-Kanye-West.html	fake		
Kim Kardashian: Nude Cookbook on the Way?!?	www.thehollywoodgossip.com/2017/03/kim-kardashian-nude-cookbook-on-the-way/	fake		
Why did Selena Gomez and Justin Bieber break up?	www.dailymail.co.uk/tvshowbiz/article-5510259/Why-did-Selena-Gomez-Justin-Bieber-break-up.html	fake		
Katy Perry ends six year beef with Calvin Harris	www.nme.com/news/music/katy-perry-ends-six-year-beef-calvin-harris-2128100	fake		
Gwen Stefani: Dumped By Blake Shelton! Blindsided and Heartbroken!	www.thehollywoodgossip.com/2018/03/gwen-stefani-and-blake-shelton-is-it-over/	fake		
This is why Kim Kardashian and Kanye West don't smile	www.ok.co.uk/celebrity-feature/1344399/why-doesnt-kanye-west-smile-kim-kardashian-family-photo	fake		
What! Brad Pitt is smitten by a young Angelina Jolie-lookalike?	www.ibtimes.co.in/what-brad-pitt-smitten-by-young-angelina-jolie-lookalike-746231	fake		
Saudi Arabia to Behead 6 School Girls for Being With Their Male Friends Without Parents or a Guardian	https://web.archive.org/web/20171027105356/http://www.religionmind.com:80/2017/10/saudi-arabia-behead-6-school-girls-for.html	fake		
President Trump Underscores US-Jamaica Relations	www.jis.gov.jm/president-trump-underscores-us-jamaica-relations/	fake		
Black Men Arrested In Philadelphia Starbucks Settle For $2 Million	https://web.archive.org/web/20180503143610/https://rickeysmileymorningshow.com/1908839/black-men-arrested-in-philadelphia-starbucks-settle-for-2-million/	fake		
ICE Detainer Issued for Suspected Wine Country Arsonist in Sonoma Jail	http://www.breitbart.com/california/2017/10/17/ice-detainer-issued-for-suspected-wine-country-arsonist-in-sonoma-jail/	fake		
Former presidents walk fine line in Trump’s America	https://www.politico.com/story/2017/05/09/trump-presidents-carter-bush-clinton-238125	fake		
Inside the Snapchat bloodbath: 60 minutes of terror which left 17 dead, bodies in classrooms and kids 'full of blood'	www.mirror.co.uk/news/us-news/there-blood-everywhere-terrified-students-12029466	fake		
Could Trump Win The Nobel Peace Prize? Peace in Korean Peninsula Would Be Significant Foreign Policy Achievement	www.newsweek.com/president-donald-trump-kim-jong-un-nobel-peace-prize-north-korea-south-korea-905146	fake		
Japanese Whaling Crew Eaten Alive By Killer Whales, 16 dead	https://worldnewsdailyreport.com/japanese-whaling-crew-eaten-alive-by-killer-whales-16-dead/	fake		
Obama Administration Kept Illegal Mexican Kids In Detention Camps As “Experiment”	https://lidblog.com/illegal-immigrant-mexican-kids/	fake		
United Airlines Flight Attendant Slaps Crying Baby During Flight	http://now8news.com/united-airlines-flight-attendant-slaps-crying-baby/	fake		
How Donald Trump Lost the 'War on Christmas'	www.haaretz.com/us-news/how-donald-trump-lost-the-war-on-christmas-1.5629520	fake		
82-Year-Old Who Killed A Muslim In Self-Defense Gets The Death Penalty	https://web.archive.org/web/20180125013854/http://www.thepatriotreport.net/82-year-old-who-killed-a-muslim-in-self-defense-gets-the-death-penalty/	fake		
Donald Trump to issue an executive order to ban Facebook across US	www.firstpost.com/world/donald-trump-to-issue-an-executive-order-to-ban-facebook-across-us-3363348.html	fake		
The hacked emails at the center of Mueller’s Russia investigation, explained	www.vox.com/policy-and-politics/2018/4/2/17164266/trump-russia-mueller-email-hackings-dnc-clinton	fake		
BREAKING: MALIA OBAMA EXPELLED FROM HARVARD	https://web.archive.org/web/20170415165124/http://thenewyorkevening.com:80/2017/04/10/breaking-malia-obama-expelled-harvard	fake		
